Date-Heure, Tension_AC_1 (V), Courant_AC_1 (A), Power_1 (W), Energie_1 (kWh), Frequence_1 (Hz), Facteur de puissance_1, Tension_AC_2 (V), Courant_AC_2 (A), Power_2 (W), Energie_2 (kWh), Frequence_2 (Hz), Facteur de puissance_2, Tension_AC_3 (V), Courant_AC_3 (A), Power_3 (W), Energie_3 (kWh), Frequence_3 (Hz), Facteur de puissance_3
27/11/24 17:37,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:38,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:38,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:39,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:39,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:40,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:40,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:41,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:41,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:41,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:42,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:42,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:43,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:43,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:44,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
